datetime,headline,url,sentiment
2025-08-14 10:31:00,Is Disney Stock a Magical Buy After Earnings?,https://finance.yahoo.com/m/c97cb91a-cb41-37fb-b1aa-733f4e36619a/is-disney-stock-a-magical-buy.html,Positive
2025-08-14 08:20:00,5 Discretionary Stocks to Boost Your Portfolio on Rising Rate Cut Hopes,https://finviz.com/news/140656/5-discretionary-stocks-to-boost-your-portfolio-on-rising-rate-cut-hopes,Positive
2025-08-14 08:07:00,"Webtoon, Carlsberg, Tempus: Trending Stocks",https://finance.yahoo.com/video/webtoon-carlsberg-tempus-trending-stocks-120703441.html,Neutral
2025-08-14 04:02:00,"Movies and Entertainment Market Outlook and Company Analysis Report 2025-2033 Featuring Paramount, Sony, Walt Disney, Warner Bros, Comcast, Netflix, Vivendi, The Idea Factory, Amazon, Marcs",https://finance.yahoo.com/news/movies-entertainment-market-outlook-company-080200178.html,Neutral
2025-08-13 16:37:00,"Webtoon Soars 97% as Disney Pact Brings Marvel, Star Wars Comics to Platform",https://finance.yahoo.com/news/webtoon-soars-97-disney-pact-203727528.html,Neutral
2025-08-13 15:00:00,Former Disney star Alyson Stoner on the price of childhood stardom,https://finance.yahoo.com/video/former-disney-star-alyson-stoner-190048964.html,Neutral
2025-08-13 14:53:00,Webtoon Entertainment Stages Recovery With Disney's Stamp of Approval,https://www.wsj.com/business/media/webtoon-entertainment-stages-recovery-with-disneys-stamp-of-approval-fe11db60?mod=wsj_FV,Neutral
2025-08-13 13:43:00,Are You a Soccer Junkie? Comcast Has an $85 Bundle for You,https://finance.yahoo.com/m/86c1bb96-b1ba-3907-b681-0df71ecdd916/are-you-a-soccer-junkie%3F.html,Neutral
2025-08-13 13:39:00,Why Webtoon Entertainment Stock Nearly Doubled Today,https://finviz.com/news/139636/why-webtoon-entertainment-stock-nearly-doubled-today,Positive
2025-08-13 12:36:00,Paramount Skydance shares prompt meme-stock comparisons with sharp rally,https://www.marketwatch.com/story/paramount-skydance-shares-prompt-meme-stock-comparisons-with-sharp-rally-82dce4b8?mod=mw_FV,Positive
2025-08-13 12:13:00,Disney Banks on NFL Deal: Will ESPN's New Streaming Push Pay Off?,https://finviz.com/news/139576/disney-banks-on-nfl-deal-will-espns-new-streaming-push-pay-off,Neutral
2025-08-13 10:45:00,"Amazon grocery, Webtoon & Disney deal, Gildan to buy Hanes",https://finance.yahoo.com/video/amazon-grocery-webtoon-disney-deal-144533333.html,Neutral
2025-08-13 07:32:00,Webtoon Stock Soars 36% After Earnings. Thank Luke Skywalker and Spider-Man.,https://www.barrons.com/articles/webtoon-earnings-stock-price-disney-884625a2?mod=bar_FV,Neutral
2025-08-13 07:09:00,"Stock Market Today: Stocks register small rise after S&P, Nasdaq set record",https://finance.yahoo.com/m/cf68ced1-d3ae-3ad5-8f24-c5c27b9dcb35/stock-market-today%3A-stocks.html,Neutral
2025-08-13 01:33:00,5 Insightful Analyst Questions From Disney's Q2 Earnings Call,https://finviz.com/news/137852/5-insightful-analyst-questions-from-disneys-q2-earnings-call,Neutral
2025-08-12 18:28:00,NFL and WWE Land on ESPN-The Impact on Disney and TKO Stocks,https://finviz.com/news/137544/nfl-and-wwe-land-on-espn-the-impact-on-disney-and-tko-stocks,Neutral
2025-08-12 18:00:00,Disney to Put Comics on Webtoons Platform,https://finance.yahoo.com/m/2eeb7dc9-f907-3412-8ae2-9847ac21568d/disney-to-put-comics-on.html,Neutral
2025-08-12 16:30:00,Funko Appoints Josh Simon Chief Executive Officer,https://finance.yahoo.com/news/funko-appoints-josh-simon-chief-203000814.html,Neutral
2025-08-12 12:30:00,Netflix's Content Strength Drives Engagement: What's the Path Forward?,https://finviz.com/news/137182/netflixs-content-strength-drives-engagement-whats-the-path-forward,Positive
2025-08-12 11:51:00,Hulu to be 'fully integrated' into Disney+ in 2026,https://www.youtube.com/shorts/69HsTBydfEU,Neutral
2025-08-12 09:00:00,TKO delivers a 'knockout' with UFC and WWE deals as Wall Street sees more upside ahead,https://finance.yahoo.com/news/tko-delivers-a-knockout-with-ufc-and-wwe-deals-as-wall-street-sees-more-upside-ahead-130026007.html,Positive
2025-08-12 06:30:00,Paramount Ponies Up $7.7 Billion to Win UFC Rights,https://finance.yahoo.com/m/b6c0ee43-f83e-3765-84a0-65efaf0e9b8f/paramount-ponies-up-%247.7.html,Neutral
2025-08-12 06:00:00,Media musical chairs are reshaping the sports landscape,https://finance.yahoo.com/news/media-musical-chairs-are-reshaping-the-sports-landscape-100021607.html,Neutral
2025-08-12 03:31:00,Disney Stock Drops Following Revenue Miss. Time to Buy the Dip?,https://finviz.com/news/135972/disney-stock-drops-following-revenue-miss-time-to-buy-the-dip,Negative
2025-08-12 03:20:00,DIS Q2 Deep Dive: Streaming Integration and Sports Deals Reshape Disney's Business Mix,https://finviz.com/news/136199/dis-q2-deep-dive-streaming-integration-and-sports-deals-reshape-disneys-business-mix,Positive
